name,price,secondaryPrice,markupPercent,description,estimatedTimeHours
Detached House - >20 Windows - Outside only,13900,12700,18.7225,,2.3
Detached House - 11 to 15 Windows - Outside & Inside,15400,14100,21.4286,,2.5
Terraced House - >20 Windows - Outside & Inside,16900,15700,20.2206,,2.8
Semi-detached House - 16 to 20 Windows - Outside & Inside,16400,15200,17.1569,,2.8
Semi-detached House - >20 Windows - Outside & Inside,19400,18100,21.645,,3.2
Detached House - 16 to 20 Windows - Outside & Inside,21400,20100,26.0736,,3.4
Detached House - >20 Windows - Outside & Inside,23400,22200,16.9237,,4.1
Basic Unblocking (rodding/snaking),8900,7600,24.9392,,1.3
Drain Jetting,19400,18100,24.8049,,3.1
Combined Rodding & Jetting Service,26400,25100,22.4359,,4.4
EICR – Studio/1‑bed Flat (up to 8 circuits),12400,11100,24.8691,,1.9
EICR – 2 Bed Property (up to 8 circuits),15400,14100,21.4286,,2.5
EICR – 3 Bed Property (up to 10 circuits),18400,17100,25.8007,,2.9
EICR – 4 Bed Property (up to 12 circuits),21400,20100,26.0736,,3.4
EICR – Up to 6 Bed Property (up to 14 circuits),25400,24100,23.0318,,4.2
Fire Risk Assessment - Small HMO (3-4 Lettings),22400,21200,17.2956,,3.9
Fire Risk Assessment - Medium HMO (5-6 Lettings),26400,25200,18.0492,,4.6
Fire Risk Assessment - Large HMO (7-10 Lettings),32400,31200,17.98,,5.7
Fire Risk Assessment (Studio / 1-Bed Flat),9400,8300,12.1951,,1.6
Fire Risk Assessment (2-Bed Flat),11400,10200,16.1431,,1.9
Fire Risk Assessment (3-Bed Flat),13400,12200,15.0514,,2.3
Fire Risk Assessment (>3-Bed Flat),15400,14200,17.7165,,2.6
Fire Risk Assessment (1-2 Bed House),12400,11300,11.4679,,2.2
Fire Risk Assessment (3 Bed House),14400,13200,14.6259,,2.5
Fire Risk Assessment (4 Bed House),16400,15200,17.1569,,2.8
Fire Risk Assessment (5+ Bed House),18400,17200,19.2308,,3.1
Garden Clearance (per hour),8400,7100,26.0417,,1.2
Small Garden Clearance (up to 50m²),24400,23100,23.6842,,4
Medium Garden Clearance (50m² - 100m²),34400,33200,19.0476,,6
Large Garden Clearance (100m² - 250m²),59400,58100,21.2073,,10.3
Small Hedge Removal (up to 4m),16900,15600,23.7643,,2.7
Large Hedge Removal (Over 4m),31900,30600,25.6148,,5.2
Hedge Trimming (1 hour),8400,7200,18.8564,,1.3
Hedge Trimming (2 hours),15900,14600,20.9974,,2.6
Gas Safety Check (CP12) - 1 appliance,7400,6200,13.0208,,1.2
Gas Safety Check (CP12) - 2 appliances,8400,7200,12.5571,,1.4
Gas Safety Check (CP12) - 3 appliances,9400,8300,12.1951,,1.6
Gas Safety Check (CP12) - 4 appliances,10400,9300,11.9048,,1.8
Minor Bed Repair,7400,6100,28.7879,,1
Repair a Cabinet Hinge,6900,5600,21.2121,,1
Repair single door hinge (2-3 hinges),10400,9100,28.4946,,1.5
Repair double door hinge (4-6 hinges),13900,12600,25.1756,,2.15
Replace cabinet door,5900,4800,6.0606,,1
Replace 2 cabinet doors,7900,6600,27.3109,,1.1
Replace 3 cabinet doors,9900,8600,23.1183,,1.5
Replace 4 cabinet doors,11900,10600,25.641,,1.8
Replace 5 cabinet doors,13900,12600,27.512,,2.1
Replace cabinet Drawer,5900,4800,6.0606,,1
Replace 2 cabinet Drawers,7900,6600,27.3109,,1.1
Replace 3 cabinet Drawers,9900,8600,23.1183,,1.5
Replace 4 cabinet Drawers,11900,10600,25.641,,1.8
Replace 5 cabinet Drawers,13900,12600,27.512,,2.1
Adjust a Door Hinge,6900,5600,21.2121,,1
Repair single door hinge (2-3 hinges),10400,9100,28.4946,,1.5
Replace double door hinge (4-6 hinges),13900,12600,25.1756,,2.15
Adjust & Realign Bifold Doors,9900,8700,17.2764,,1.6
Roller/Hinge Replacement,16400,15200,17.1569,,2.8
Adjust a Door Hinge,6900,5600,21.2121,,1
Fit New Adjustable Closer,8400,7100,26.0417,,1.2
Adjust & Realign French Doors,11900,10700,20.5061,,1.9
Door Latch Repair,6900,5600,21.2121,,1
Rehand a Misaligned Single Door,12900,11500,29.2321,,1.9
Replace a Door Knob,6900,5600,21.2121,,1
Replace 2 handles/knobs,11900,10600,25.641,,1.8
Replace 3 handles/knobs,15900,14600,28.9548,,2.4
Replace a Door Hinge,9900,8500,29.6804,,1.4
Replace single door hinge (2-3 hinges),10400,9100,28.4946,,1.5
Replace double door hinge (4-6 hinges),13900,12600,25.1756,,2.15
uPVC Door Seal Repair,6900,5600,21.2121,,1
uPVC Door Frame Realignment,9400,8100,23.9726,,1.4
uPVC Glass Unit Replacement,10400,9100,22.3577,,1.6
Drain Repair,13400,12100,23.5247,,2.1
Electrical Repairs - Replace Single Light Fixture,11900,10600,28.4038,,1.75
Electrical Repairs - Replace 2 Light Fixture,15900,14600,24.8299,,2.5
Electrical Repairs - Replace 3 Light Fixture,18900,17600,25.2874,,3
Electrical Repairs - Replace 4 Light Fixture,21900,20600,25.6219,,3.5
Electrical Repairs - Replace up to 5 Lightbulbs,6900,5600,21.2121,,1
Replace a Single Light Switch,10400,9100,28.4946,,1.5
Electrical Repairs - Replace Plug Socket Faceplate,7400,6100,28.7879,,1
Fix uPVC door lock,10400,9100,28.4946,,1.5
General Repairs - Fix Window Lock,10400,9100,28.4946,,1.5
Handyperson for half day (3.5 hours),18500,17300,19.7882,,3.1
Handyperson for the day (7 hours),34500,33300,19.3452,,6
Heating Maintenance - Bleed Single Radiator,7400,6100,28.7879,,1
Heating Maintenance - Bleed Up to 5 Radiators,10400,9100,28.4946,,1.5
Heating Maintenance - Bleed Up to 10 Radiators,15900,14600,24.8299,,2.5
Heating Maintenance - Bleed Up To 20 Radiators,24900,23600,25.8772,,4
Heating Maintenance - Check & Balance Radiators,12900,11600,24.1667,,2
Heating Maintenance - Refill Boiler Pressure,7400,6100,28.7879,,1
Plasterboard Repairs - Small Hole (Up To 10cm),7400,6100,28.7879,,1
Plasterboard Repairs - Medium Hole (Up To 30cm),10400,9100,28.4946,,1.5
Plasterboard Repairs - Large Hole (Up To 50cm),12900,11600,24.1667,,2
Reseal - Sink Only,8400,7100,26.0417,,1.2
Reseal - Bath Only,8900,7600,24.9392,,1.3
Reseal - Shower Only,10900,9600,27.439,,1.6
Reseal - Bath & Sink,11900,10600,25.641,,1.8
Reseal - Shower & Sink,12900,11600,24.1667,,2
Reseal - Bath & Shower,15900,14600,24.8299,,2.5
"Reseal - Bath, Shower & Sink",18900,17600,25.2874,,3
Plumbing Repairs - Dripping Shower Head,7400,6100,28.7879,,1
Plumbing Repairs - Fix Shower Basin Leak,12900,11600,24.1667,,2
Plumbing Repairs - Radiator Installation,18900,17600,25.2874,,3
Plumbing Repairs - Shower Head Installation,7400,6100,28.7879,,1
Plumbing Repairs - New Sink Installation,15900,14600,24.8299,,2.5
Plumbing Repairs - Outdoor Tap Installation,15900,14600,24.8299,,2.5
Plumbing Repairs - Radiator Leak Repair,10400,9100,28.4946,,1.5
Plumbing Repairs - Repair Leaking Tap,10400,9100,28.4946,,1.5
Plumbing Repairs - Toilet Leak Repair,12900,11600,24.1667,,2
Plumbing Repairs - Bathroom Vanity Replacement,15900,14600,24.8299,,2.5
Plumbing Repairs - Shower Hose Replacement,7400,6100,28.7879,,1
Plumbing Repairs - Replace Sink Stopper,7400,6100,28.7879,,1
Plumbing Repairs - Replace Kitchen Tap,10400,9100,28.4946,,1.5
Plumbing Repairs - Replace Bathroom Tap,10400,9100,28.4946,,1.5
Toilet Seat Replacement,7400,6100,28.7879,,1
Paint & Repair Single Wall (Up to 10m²),19400,18100,28.1609,,3
Wall Repairs - Small Crack (Up To 10cm),7400,6100,28.7879,,1
Wall Repairs - Large Crack (Up To 50cm),12900,11600,24.1667,,2
Window Repairs - Single Handle Replacement,10400,9100,28.4946,,1.5
Standard single window reseal,7400,6100,28.7879,,1
Large single window reseal,10400,9100,28.4946,,1.5
Two window reseal,12900,11600,24.1667,,2
Three windows reseal,15900,14600,24.8299,,2.5
Mini Skip (2-3 yard) - 1-2 weeks,15400,14200,17.7165,,2.6
Mini Skip (2-3 yard) - Up to 4 weeks,21900,20600,22.7713,,3.6
Midi Skip (4-5 yard) - 1-2 weeks,26400,25100,24.7748,,4.3
Builder Skip (6-8 yard) - 1-2 weeks,35400,34200,20.3574,,6.1
Midi Skip (4-5 yard) - Up to 4 weeks,35400,34200,18.7428,,6.2
Maxi Skip (10-12 yard) - 1-2 weeks,47400,46100,22.1406,,8.1
Builder Skip (6-8 yard) - Up to 4 weeks,50400,49100,21.2744,,8.7
Large Skip (14-16 yard) - 1-2 weeks,60400,59200,19.0743,,10.7
Maxi Skip (10-12 yard) - Up to 4 weeks,66400,65100,21.564,,11.5
Large Skip (14-16 yard) - Up to 4 weeks,86400,85100,21.7762,,15
Replacing a rim cylinder lock,8900,7700,18.2648,,1.4
Replacing a garage door lock,9900,8700,17.2764,,1.6
Euro Cylinder (standard),10400,9200,16.8593,,1.7
Replacing a night latch,11400,10200,16.1431,,1.9
Replacing a patio door lock,11400,10200,16.1431,,1.9
High Security Anti-Snap Lock,14400,13100,22.3935,,2.3
Motice lock (deadlock or sashlock),15400,14100,21.4286,,2.5
Digital Smart Door Lock Installation,16400,15200,20.5957,,2.7
Internal door lock re-keying,4900,3700,15.0602,,0.7
UPVC door lock re-keying,6400,5200,13.6364,,1
Patio door lock re-keying,7900,6700,19.5313,,1.2
UPVC window lock re-keying,5900,4700,14.0264,,0.9
Internal Door Lock Rpair (Bedroom/Bathroom),7400,6200,20.3081,,1.1
Front or Back Door Lock Repair,9400,8100,23.9726,,1.4
uPVC Door Lock Repair,9400,8100,23.9726,,1.4
Lifting (1 man - 1 hour),6400,5100,22.2772,,0.9
Lifting (1 man - 2 hour),11400,10100,21.0623,,1.8
Lifting (1 man - 3 hour),17400,16200,19.8695,,2.9
Lifting (2 men - 1 hour),17400,16200,19.8695,,2.9
Lifting (2 men - 2 hours),25400,24200,18.4295,,4.4
Small Van (1 Hour),6400,5100,22.2772,,0.9
Medium Van (2 Hours),11400,10100,21.0623,,1.8
Large Van (3 Hours),17400,16200,19.8695,,2.9
Medium Van (2 Hours),17400,16200,19.8695,,2.9
Large Van (3 Hours),25400,24200,18.4295,,4.4
Install Replacement Dishwasher (Freestanding),12900,11600,24.1667,,2
Install Replacement Dishwasher (Integrated),12900,11600,24.1667,,2
Install Replacement Under-Counter Fridge (Freestanding),10400,9100,28.4946,,1.5
Install Replacement Under-Counter Fridge (Integrated),10400,9100,28.4946,,1.5
Install Replacement Tall Fridge Freezer (Freestanding),12900,11600,24.1667,,2
Install Replacement Tall Fridge Freezer (Integrated),12900,11600,24.1667,,2
Install Replacement Tumble Dryer (Freestanding),12900,11600,24.1667,,2
Install Replacement Washer Dryer Combo (Integrated),12900,11600,24.1667,,2
Install Replacement Washing Machine (Freestanding),12900,11600,24.1667,,2
Install Replacement Washing Machine (Integrated),12900,11600,24.1667,,2
Bathroom Accessories - Shower Caddy,7400,6100,28.7879,,1
Bathroom Accessories - Toothbrush Holder,7400,6100,28.7879,,1
Bathroom Accessories - Soap Dish Installation,7400,6100,28.7879,,1
Bathroom Accessories - Grab Bar,7400,6100,28.7879,,1
Bathroom Accessories - Shower Rod Installation,7400,6100,28.7879,,1
Bathroom Accessories - Towel Rack,7400,6100,28.7879,,1
Bathroom Accessories - Medicine Cabinet,10400,9100,28.4946,,1.5
Bathroom Accessories - Heated Mirror,15900,14600,24.8299,,2.5
Bathroom Accessories - Shower Glass Panel (Up To 1m),18900,17600,25.2874,,3
Attach Headboard,6900,5600,21.2121,,1
Blinds Installation - Roller (Up To 3m),7400,6100,28.7879,,1
Blinds Installation - Vertical (Up To 3m),8900,7600,24.9392,,1.3
Blinds Installation - Venetian (Up To 3m),10400,9100,28.4946,,1.5
Blinds Installation - Roman (Up To 3m),12900,11600,24.1667,,2
Velux/Skylight Blind Installation (easy access),8900,7600,24.9392,,1.3
Velux/Skylight Blind Installation (ladder needed),11400,10100,21.0623,,1.8
Curtain Installation - Rod (Up To 1.5m),7400,6100,28.7879,,1
Curtain Installation - 2 Rods (Up To 1.5m each),10400,9100,28.4946,,1.5
Curtain Installation - 3 Rods (Up To 1.5m each),13400,12100,28.3333,,2
Curtain Installation - 4 Rods (Up To 1.5m each),16400,15100,28.2313,,2.5
Curtain Installation - 5 Rods (Up To 1.5m each),19400,18100,28.1609,,3
Curtain Installation - Rod (Up To 3m),9900,8500,29.6804,,1.4
Curtain Installation - 2 Rods (Up To 3m each),12900,11500,29.2321,,1.9
Curtain Installation - 3 Rods (Up To 3m each),15900,14600,28.9548,,2.4
Curtain Installation - 4 Rods (Up To 3m each),18900,17600,28.7663,,2.9
Curtain Installation - 5 Rods (Up To 3m each),21900,20600,28.6299,,3.4
Electric Blind Installation (battery/solar blinds),9400,8100,23.9726,,1.4
Install a wall-mounted coat rack,5900,4800,6.0606,,1
Door Hardware Installation - Knocker,7400,6100,28.7879,,1
Door Hardware Installation - Peephole,7400,6100,28.7879,,1
Smart Doorbell Installation,7400,6100,28.7879,,1
Outdoor Fixtures - Clothesline (Retractable),7400,6100,28.7879,,1
Outdoor Fixtures - Clothesline (Wall-Mounted),7400,6100,28.7879,,1
Install Loft Ladder,18400,17100,22.4138,,3
Mirror Hanging - Small (Up To 1m),7400,6100,28.7879,,1
Mirror Hanging - Large (Up To 2m),10400,9100,28.4946,,1.5
Picture Hanging - Single Frame (Up To 1m²),7400,6100,28.7879,,1
Picture Hanging - Multiple Frames (Up To 5 Items),10400,9100,28.4946,,1.5
Picture Hanging - Oversized Artwork (Up To 3m²),12900,11600,24.1667,,2
Picture Hanging - Gallery Wall (Up To 10 Items),15900,14600,24.8299,,2.5
Safety Devices - Install Smoke/CO Alarm (Battery),7400,6100,28.7879,,1
Shelving Units - Corner Shelves (Up To 3),10900,9600,27.439,,1.6
Shelving Units - Corner Shelves (Up To 6),15900,14600,28.9548,,2.4
Shelving Units - Floating Shelves (Up To 3),10900,9600,27.439,,1.6
Shelving Units - Floating Shelves (Up To 6),15900,14600,28.9548,,2.4
Shelving Installation - Up To 3 Shelves,6900,5600,21.2121,,1
Shelving Installation - Corner Shelf,6900,5600,21.2121,,1
Shelving Installation - Up To 6 Shelves,10900,9600,27.439,,1.6
Shelving Unit Installation - Up To 1m x 0.5m,6900,5600,21.2121,,1
Shelving Unit Installation -  Up To 3m x 1.5m,12900,11600,24.1667,,2
Single Stair Gate Install (Wall Fix),7400,6100,28.7879,,1
Single Stair Gate Install (Pressure Fit),7400,6100,28.7879,,1
Two Stair Gates Install,9400,8000,31.0219,,1.3
Key safe (lock box) installation,6400,5200,13.6364,,1
Storage Solutions - Wall Hooks (Up To 5),6900,5600,21.2121,,1
Storage Solutions - Pegboard,6900,5600,21.2121,,1
Storage Solutions - Bike Rack,10400,9100,28.4946,,1.5
TV Accessories - Wall-Mounted Soundbar,6900,5600,21.2121,,1
"TV Mounting - Small TV (Up To 48"""")",6900,5600,21.2121,,1
"TV Mounting - Large TV (Up To 100"""")",10400,9100,28.4946,,1.5
Electric Shower Installation,21900,20600,22.7713,,3.6
Mixer Shower Installation,21900,20600,22.7713,,3.6
Thermostatic Shower Installation,21900,20600,22.7713,,3.6
Power Shower Installation,35400,34100,22.0238,,6
Electric Shower Unit Replacement,19400,18100,24.8049,,3.1
